title|price|size|block|type
新出笋盘，满五唯一精装修拎包入住，手慢无.新上|740|100|瀚杨苑|2室2厅
万佳苑2005年小区，一梯两户，全明户型，视野开阔。|710|106|万佳苑|2室2厅
前后无遮挡，采光好，中间楼层，看房有钥匙|880|120|佳泰花园|3室2厅
带阁楼，小区中间位置，小区环境好，满五唯一，诚售|680|93|佳泰花园|2室2厅
沧州路180弄 2室1厅 405万房主自荐|405|55|沧州路180弄|2室1厅
8号地铁直达+6复7楼带阁楼+紫金广场+得房率90%|650|107|控江路1455弄|4室2厅
售后公房满五唯一 位置无吵闹 南北通透|378|64|翔殷四村|2室1厅
高区景观3房，三开间朝南，满五唯一，免个税近30万|1380|164|加州水郡|3室2厅
顶楼复式，挑空客厅，学籍未用，付款方式好价格有空间|1250|148|公园3000黄兴花园|5室2厅
钥匙房 景观房  价格能谈 业主诚心|1020|131|圣骊河滨苑|3室2厅
全明两房+自住装修+近地铁+次新电梯房|665|99|文化花园清华苑|2室2厅
大运盛城 2室2厅 705万|705|98|大运盛城|2室2厅
目前小区就这一套5万一单价，售后公房满五唯一|306|59|国和二村|2室1厅
满五唯一无个.税++无抵押+带花园+居家精装房主自荐|780|102|公园3000黄兴花园|2室2厅
高品质小区，业主诚信出售，总价低|723|98|佳龙花园|2室1厅
市光二村 2室1厅 355万|355|67|市光二村|2室1厅
家乐福，8.10号地铁站，菜市场商圈，二师|385|31|密云小区|1室0厅
满五唯一 户口一个，产权人一个， 大一房一室半户新上|265|52|三门路510弄|1室2厅
一房一厅南北通户型采光好通风佳楼层好可改动。|200|41|开鲁一村|1室1厅
全新未入住，买房送产权车位，全明户型，诚意出售|1350|163|加州水郡|3室2厅
近地铁8号线 满五年唯一税费少南北户型，通风性好|700|113|靖宇家园|3室2厅
边套全明户型，采光和通风全天充足。有钥匙看房方便。|380|55|沧州路180弄|2室1厅
正气房型，交通方便，闹中取静给人明亮，阳气，的感觉|195|42|开鲁四村|1室1厅
边套全明 3楼 地铁800米 满五唯一 61 售后公房房主自荐|430|67|国和路429号|2室1厅
售后公房  满五年不唯一  只有一个点个税 5.56万 全明|556|77|南茶园|3室1厅
11年次新小区，有地下车库，停车方便，随时可看|355|69|城市方园|2室1厅
小区高区房源+前方直面一览陆家嘴+板式正统全南户型|675|103|众和金融大厦|2室2厅
带产权车位和储藏室，业主急售，有钥匙看房随时|1000|133|涵碧景苑|3室2厅
华润置地橡树湾 2室2厅 90.72平米|800|90|华润置地橡树湾|2室2厅
泰宝华庭(公寓) 4室2厅 1600万|1600|180|泰宝华庭(公寓)|4室2厅
佳龙花园毛坯三房节省装修拆除费用|1050|119|佳龙花园|3室2厅
钥匙房+满五唯一+电梯房+黄兴公园+大润发+边套全明|898|131|汇元坊|3室2厅
三门路358弄 2室1厅 360万|360|68|三门路358弄|2室1厅
公园三千满五唯一 五角场电梯黄兴公园大润发|870|110|公园3000黄兴花园|2室2厅
电梯+总价低+两房朝南+采光好！|490|71|铁岭大楼|2室1厅
凤城三村 3室1厅 500万新上|500|102|凤城三村|3室1厅
内江二村南北全明两房 售后公房 税费少 随时看新上|445|86|内江二村|2室1厅
电梯房朝南，高层采光好，视野开阔，一手动迁无增值税|410|57|东岸新里|1室1厅
新出炉，地铁口公园边，小户型满五少税，楼层好|570|77|锦杨苑|2室1厅
海上硕和城 南北大2房 有车位 诚意出售 价格面谈|935|108|海上硕和城|2室2厅
五角场繁华 地段 小区价格超低 有钥匙看房方便|289|49|三门路24弄|2室0厅
世和园 1室1厅 355万|355|53|世和园|1室1厅
钥匙在手，双南带阳台，随时看房，诚心出售.|315|53|友谊新村|2室0厅
房型方正，三开间朝南，全明户型，看房提前约|900|106|宝地东花园|2室2厅
售后公房，满五唯一，价格可谈。|365|68|市光二村|3室1厅
南北套，中间楼层，房东小孩出国，诚意出售|365|67|益民小区|2室1厅
三门路358弄 2室1厅 310万|310|60|三门路358弄|2室1厅
到地铁426米厅主卧朝南电梯房精装修拎包入住电梯房|780|101|宁阳福邸|3室2厅
全明户型，景观佳，私密性好，无户口送大露台+太阳能|1490|169|香阁丽苑|6室3厅
满五年-唯+一+近三号线+此房无户口+买进价高税费少。|610|91|文化花园清华苑|2室1厅
怡佳苑，小区中层，采光好，近黄兴公园房主自荐|369|64|怡佳苑|2室1厅
诚售+地铁房+单价低+满五唯一+看房方便|560|107|市益大楼|2室2厅
降价急售 高层电梯 采光无遮挡满五年唯一|1020|136|浦江风景苑|3室2厅
仁恒怡庭 2室2厅 1229万|1229|140|仁恒怡庭|2室2厅
内环内滨江板块+花园位置+婚房装修+二梯队QI一+随时看|725|79|圣骊河滨苑|2室2厅
阳明新城+品质小区+带露台+精装两房+满五唯一+近地铁|525|74|阳明新城|2室2厅
满五年唯一，全明户型，，自住保养较好,诚心出售房主自荐|350|69|永吉路97弄|2室1厅
金鹏花园 3室2厅 666万房主自荐|666|101|金鹏花园|3室2厅
满五唯一税费少、格局楼层好、视野宽阔、交通便利|510|78|申通公寓|2室1厅
华润置地橡树湾 3室2厅 1530万|1530|166|华润置地橡树湾|3室2厅
