|price|size|type|floor|year
0|660|98|4|16|2002
1|920|131|5|24|2009
2|990|136|5|12|2008
3|560|71|3|35|1997
4|330|68|3|7|1994
5|545|74|3|35|1997
6|888|106|4|26|2009
7|175|32|2|6|1987
8|635|106|3|28|1998
9|1250|148|7|11|2003
10|1350|163|5|20|2010
11|880|123|5|11|2008
12|570|74|3|35|
13|288|56|3|6|1997
14|670|93|5|6|1998
15|730|97|4|17|2007
16|922|123|5|11|2008
17|730|95|4|18|2004
18|748|85|3|31|2012
19|305|60|3|7|1994
20|1080|135|5|11|2008
21|470|68|3|30|
22|355|67|3|18|1997
23|920|119|5|7|2002
24|730|104|4|14|2007
25|1600|180|6|6|2011
26|898|131|5|7|2002
27|600|90|3|34|1997
28|1150|161|5|20|2010
29|385|81|3|6|1999
30|330|69|3|34|2011
31|665|99|5|5|2002
32|345|69|3|34|2011
33|755|95|4|14|2005
34|245|45|3|5|2004
35|440|62|3|34|2013
36|345|69|3|7|1993
37|990|136|5|18|2003
38|780|98|4|16|2001
39|820|99|4|11|2003
40|1880|197|6|7|2011
41|1050|119|5|14|2005
42|750|94|4|8|2009
43|455|65|3|34|2013
44|530|75|3|18|2011
45|408|61|3|7|1995
46|680|88|4|17|2003
47|490|71|3|18|1994
48|352|53|2|17|2003
49|470|87|4|33|2011
50|415|40|2|6|1985
51|198|41|2|6|1992
52|1850|223|6|19|2010
53|450|63|2|18|1989
54|480|70|3|24|1998
55|663|101|5|24|1998
56|315|53|2|6|1985
57|250|45|2|6|1994
58|240|40|2|6|1993
59|618|88|4|6|1997
60|1180|127|5|17|2005
61|720|86|4|8|2009
62|285|46|3|6|1993
63|720|86|5|8|2009
64|1098|143|6|11|2002
65|130|25|1|4|1956
66|1380|164|5|19|2010
67|690|100|5|24|2008
68|718|90|4|14|2004
69|650|135|5|7|1999
70|205|42|2|6|1983
71|182|31|2|6|1985
72|818|127|4|26|2004
73|265|54|3|6|1996
74|685|104|5|6|1999
75|540|113|4|30|2005
76|320|58|3|6|1998
77|350|70|3|33|2011
78|1000|134|5|7|2002
79|345|58|3|5|1990
80|446|64|3|6|1997
81|1000|100|5|18|2014
82|335|60|3|6|1984
83|838|91|3|11|2003
84|730|85|4|5|2002
85|175|34|2|5|2004
86|225|41|2|6|1992
87|840|100|4|14|2005
88|240|38|2|6|1987
89|175|29|1|6|1981
90|880|120|5|11|2001
91|930|119|5|16|2003
92|570|93|4|6|1997
93|830|95|4|16|2003
94|1010|146|5|13|2004
95|325|59|3|6|1990
96|630|113|5|7|1999
97|680|93|4|6|2000
98|335|62|3|6|1993
99|410|70|3|6|1997
100|655|101|4|12|2003
101|630|88|4|12|1987
102|355|59|3|6|1989
103|475|70|3|28|2011
104|990|127|5|18|2003
105|780|102|4|6|2003
106|1199|140|4|4|2011
107|590|82|3|5|2000
108|315|65|3|7|1997
109|280|56|3|7|1994
110|630|92|4|17|2005
111|465|70|3|7|1999
112|280|52|3|6|1981
113|498|78|3|24|1996
114|570|77|3|6|1997
115|280|56|3|6|1995
116|628|84|3|34|1997
117|388|56|3|28|2013
118|610|75|3|7|1998
119|310|50|3|6|1983
