title|price|size|block|type|floor|year
大运盛城 2室2厅 660万|660|98|大运盛城|2室2厅|中楼层(共16层)|2002年建板楼  
优质房源 同比小区挂牌价低至1.2万 产权清晰随时看房房主自荐|920|131|圣骊河滨苑|3室2厅|低楼层(共24层)|2009年建板楼  
雍景园 大三房 前无遮挡  楼层佳  房型整齐|990|136|新江湾城雍景苑|3室2厅|中楼层(共12层)|2008年建板楼  
阳明新城+品质小区+高区景观房+满五唯一+精装修+诚售|560|71|阳明新城|2室1厅|高楼层(共35层)|1997年建塔楼  
三门路358弄 2室1厅 330万|330|68|三门路358弄|2室1厅|高楼层(共7层)|1994年建板楼  
阳明新城+满五唯一+业主诚意出售+看房随时|545|74|阳明新城|2室1厅|中楼层(共35层)|1997年建塔楼  
房型方正，三开间朝南，全明户型，看房提前约房主自荐|888|106|宝地东花园|2室2厅|中楼层(共26层)|2009年建板楼  
延吉东路131弄 1室1厅 175万|175|32|延吉东路131弄|1室1厅|高楼层(共6层)|1987年建板楼  
好楼层，好户型，好地段，低总价，满五唯一，看房随时|635|106|众和金融大厦|2室1厅|中楼层(共28层)|1998年建板楼  
顶楼复式，挑空客厅，学籍未用，付款方式好价格有空间|1250|148|公园3000黄兴花园|5室2厅|高楼层(共11层)|2003年建板楼  
全新未入住，买房送产权车位，全明户型，诚意出售|1350|163|加州水郡|3室2厅|低楼层(共20层)|2010年建板楼  
婚房装修，房东看好一手房，诚意出售，随时签字|880|123|新江湾城雍景苑|3室2厅|低楼层(共11层)|2008年建板楼  
阳明新城+高区景观+正看东方明珠+业主诚售+有钥匙|570|74|阳明新城|2室1厅|中楼层(共35层)|塔楼  
精巧小两室  中原路国和路位置  生活设施方便|288|56|国和苑|2室1厅|高楼层(共6层)|1997年建板楼  
成熟社区+得房率高+小三房+三十平花园|670|93|长阳新苑|3室2厅|低楼层(共6层)|1998年建板楼  
此房满五年不唯一 采光不挡 有钥匙随时看房|730|97|韵都城|2室2厅|低楼层(共17层)|2007年建板楼  
一梯两户梦想小三房  湿地走廊旁 看房全天候电话联系|922|123|新江湾城雍景苑|3室2厅|中楼层(共11层)|2008年建板楼  
佳龙花园，南北通透，高品质小区。|730|95|佳龙花园|2室2厅|低楼层(共18层)|2004年建板楼  
12年次新小区、满五唯一 齐/一 渔人码头、江浦公园|748|85|圣骊河滨苑|2室1厅|低楼层(共31层)|2012年建板楼  
三门路358弄 2室1厅 305万房主自荐|305|60|三门路358弄|2室1厅|高楼层(共7层)|1994年建板楼  
小区中间位置 正看花园水景 满5送车位 随时看|1080|135|涵碧景苑|3室2厅|低楼层(共11层)|2008年建板楼  
中环和润苑 2室1厅 470万|470|68|中环和润苑|2室1厅|中楼层(共30层)|板楼  
市光二村 2室1厅 355万|355|67|市光二村|2室1厅|中楼层(共18层)|1997年建塔楼  
汇元坊 3室2厅 920万|920|119|汇元坊|3室2厅|中楼层(共7层)|2002年建板楼  
合生江湾国际公寓2室2厅1卫，房子保养好，满五唯一|730|104|合生江湾国际公寓|2室2厅|中楼层(共14层)|2007年建板楼  
独立电梯 一梯一户 满五年送车位 楼层好 采光无遮挡|1600|180|泰宝华庭(公寓)|4室2厅|高楼层(共6层)|2011年建板楼  
钥匙房+满五唯一+电梯房+黄兴公园+大润发+边套全明|898|131|汇元坊|3室2厅|高楼层(共7层)|2002年建板楼  
和平花苑2室+近校区+紧靠和平公园+双轨交通8/10|600|90|和平花苑|2室1厅|低楼层(共34层)|1997年建塔楼  
加州水郡 3室2厅 1150万|1150|161|加州水郡|3室2厅|低楼层(共20层)|2010年建板楼  
满五唯一，楼层视野宽阔，双南大两房！配套设施齐全！|385|81|宏翔公寓|2室1厅|高楼层(共6层)|1999年建板楼  
一手动迁 免增值税 11年小区 地下车库 楼层佳 采光好|330|69|城市方园|2室1厅|中楼层(共34层)|2011年建板楼  
正规复试5楼复6楼再送阁楼露台，南北通户型，拎包入|665|99|鞍山三村|3室2厅|高楼层(共5层)|2002年建板楼  
11年次新小区，有地下车库，停车方便，随时可看|345|69|城市方园|2室1厅|中楼层(共34层)|2011年建板楼  
星洲城三期+满五唯一+随时可看房+南北通两房+降价出售|755|95|现代星洲城|2室2厅|低楼层(共14层)|2005年建板楼  
控江西三村 2室1厅 245万|245|45|控江西三村|2室1厅|中楼层(共5层)|2004年建板楼  
小两房，楼层好有钥匙看房方便，价格可谈业主诚心出售|440|62|明月坊|2室1厅|高楼层(共34层)|2013年建塔楼  
满五年唯一，全明户型，，自住保养较好,诚心出售房主自荐|345|69|永吉路97弄|2室1厅|高楼层(共7层)|1993年建板楼  
满五年唯一 高层电梯 南北通透 两南一北 采光无遮挡|990|136|浦江风景苑|3室2厅|高楼层(共18层)|2003年建板楼  
业主诚意 价格好谈 看房方便 经典双南两房 户型正气|780|98|上海大花园|2室2厅|高楼层(共16层)|2001年建板楼  
公园3000黄兴花园 2室2厅 820万|820|99|公园3000黄兴花园|2室2厅|中楼层(共11层)|2003年建板楼  
仁恒高区大平层，满五年唯一，税少 对口上音  带车位|1880|197|仁恒怡庭|4室2厅|中楼层(共7层)|2011年建板楼  
佳龙花园毛坯三房节省装修拆除费用|1050|119|佳龙花园|3室2厅|低楼层(共14层)|2005年建板楼  
房东诚心出售，满五唯一.板式户型|750|94|书香银苑|2室2厅|高楼层(共8层)|2009年建板楼  
精致小户型，可改三房，配套齐全，总价低|455|65|明月坊|2室1厅|高楼层(共34层)|2013年建塔楼  
东岸新里 次新小区 2013年 南北户型 小区环境好|530|75|东岸新里|2室1厅|高楼层(共18层)|2011年建板楼  
申泉小区 2室1厅 408万|408|61|申泉小区|2室1厅|中楼层(共7层)|1995年建板楼  
双南两房+近地铁+楼层佳+随时看房+有钥匙|680|88|珠江香樟园|2室2厅|高楼层(共17层)|2003年建板楼  
电梯+总价低+两房朝南+采光好！|490|71|铁岭大楼|2室1厅|低楼层(共18层)|1994年建塔楼  
世和园 1室1厅 352万|352|53|世和园|1室1厅|低楼层(共17层)|2003年建板楼  
11年次新小区，小三房，全明户型|470|87|城市方园|3室1厅|中楼层(共33层)|2011年建板楼  
家乐福，8.10号地铁站，菜市场商圈，二师|415|40|密云小区|1室1厅|高楼层(共6层)|1985年建板楼  
一房一厅南北通户型采光好通风佳楼层好可改动。|198|41|开鲁一村|1室1厅|高楼层(共6层)|1992年建板楼  
降价出售，品质不降！加州全新四房送车位，房型正气|1850|223|加州水郡|4室2厅|低楼层(共19层)|2010年建板楼  
新出电梯房，婚房装修，满五唯一，家具家电全送！房主自荐|450|63|密云小区|1室1厅|中楼层(共18层)|1989年建塔楼  
内环内+满五唯一+近地铁12/18号线+卖的就是地段|480|70|金鹏花园|2室1厅|低楼层(共24层)|1998年建塔楼  
金鹏花园 满五唯一 内环内公园与地铁氧气充足绚丽美景房主自荐|663|101|金鹏花园|3室2厅|低楼层(共24层)|1998年建塔楼  
钥匙在手，双南带阳台，随时看房，诚心出售.|315|53|友谊新村|2室0厅|高楼层(共6层)|1985年建板楼  
低楼层，精装修，南北通风，东山墙全明，近地铁8号线|250|45|长海一村|1室1厅|低楼层(共6层)|1994年建板楼  
国和一村 1室1厅 240万|240|40|国和一村|1室1厅|中楼层(共6层)|1993年建板楼  
送花园+东边套全明+近江浦公园站+两房朝南采光无影响|618|88|万登花苑|2室2厅|低楼层(共6层)|1997年建板楼  
带租赁车位，双南一北，厅南北通透，房间宽敞采光明亮|1180|127|紫罗兰家苑|3室2厅|高楼层(共17层)|2005年建板楼  
新江湾佳苑 3室1厅 720万|720|86|新江湾佳苑|3室1厅|低楼层(共8层)|2009年建板楼  
控江东三村 2室1厅 285万|285|46|控江东三村|2室1厅|高楼层(共6层)|1993年建板楼  
低密度 精装修适用三房 满五唯一 小区花园位置|720|86|新江湾佳苑|3室2厅|低楼层(共8层)|2009年建板楼  
文化佳园 4室2厅 1098万|1098|143|文化佳园|4室2厅|高楼层(共11层)|2002年建板楼  
朝北一室户,麻雀虽小五脏俱全,出门地铁菜市场五角场|130|25|控江四村|1室0厅|中楼层(共4层)|1956年建板楼  
高区景观3房，三开间朝南，满五唯一，免个税近30万|1380|164|加州水郡|3室2厅|中楼层(共19层)|2010年建板楼  
东上海，近五角场大润发，商圈成熟，电梯房，诚意出售房主自荐|690|100|东上海中心|3室2厅|低楼层(共24层)|2008年建板楼  
佳龙花园品质小区精装修两房南北通透|718|90|佳龙花园|2室2厅|低楼层(共14层)|2004年建板楼  
次顶楼、蝴蝶户型、全明通透、一梯两户、可做四房|650|135|宏翔公寓|3室2厅|高楼层(共7层)|1999年建板楼  
控江绿苑 1室1厅 205万|205|42|控江绿苑|1室1厅|低楼层(共6层)|1983年建板楼  
旁边理工+宋庆龄基金会幼儿园+配套完善+近地铁采光足|182|31|延吉四村|1室1厅|高楼层(共6层)|1985年建板楼  
皇朝新城 2室2厅 818万|818|127|皇朝新城|2室2厅|低楼层(共26层)|2004年建塔楼  
房型正气 双南户型 满五唯一 诚心出售|265|54|殷行路301弄|2室1厅|高楼层(共6层)|1996年建板楼  
安波路200弄 精装修 高楼层 采光好 视野好 无遮挡房主自荐|685|104|安波路200弄|3室2厅|高楼层(共6层)|1999年建板楼  
一手动迁免增值税，大面积两房，超大客厅居住舒适度高|540|113|城市名园|2室2厅|中楼层(共30层)|2005年建板楼  
满五年唯一，双南双阳台，送20平天井，近地铁8号线|320|58|民欣苑|2室1厅|低楼层(共6层)|1998年建板楼  
城市方园 2室1厅 350万|350|70|城市方园|2室1厅|低楼层(共33层)|2011年建板楼  
大三房，得房率高，双飘窗双阳台，楼层好，诚心出售。|1000|134|嘉禄新苑|3室2厅|高楼层(共7层)|2002年建板楼  
安图新村 2室1厅 345万|345|58|安图新村|2室1厅|中楼层(共5层)|1990年建板楼  
内环内 一梯两户 中区楼层 南北通透 精致装修拎包入住|446|64|百兴花园|2室1厅|中楼层(共6层)|1997年建板楼  
精装小三房！景观楼层、近地铁、近新江湾城公园、急售|1000|100|绿地海珀璞晖|3室2厅|中楼层(共18层)|2014年建塔楼  
控江路645弄南北两房一厅 有钥匙随时可看|335|60|控江路645弄|2室1厅|低楼层(共6层)|1984年建板楼  
东方名园 2室1厅 838万|838|91|东方名园|2室1厅|中楼层(共11层)|2003年建板楼  
满五唯一，南北板式户型，小区总价低两房，随时看房！|730|85|公园3000黄兴花园|2室2厅|中楼层(共5层)|2002年建板楼  
总价便宜，朝南一室一厅，适合老人居住，低楼层|175|34|控江西三村|1室1厅|中楼层(共5层)|2004年建板楼  
